firstname,Total,J_1908,J_1909,J_1910,J_1911,J_1912,J_1913,J_1914,J_1915,J_1916,J_1917,J_1918,J_1919,J_1920,J_1921,J_1922,J_1923,J_1924,J_1925,J_1926,J_1927,J_1928,J_1929,J_1930,J_1931,J_1932,J_1933,J_1934,J_1935,J_1936,J_1937,J_1938,J_1939,J_1940,J_1941,J_1942,J_1943,J_1944,J_1945,J_1946,J_1947,J_1948,J_1949,J_1950,J_1951,J_1952,J_1953,J_1954,J_1955,J_1956,J_1957,J_1958,J_1959,J_1960,J_1961,J_1962,J_1963,J_1964,J_1965,J_1966,J_1967,J_1968,J_1969,J_1970,J_1971,J_1972,J_1973,J_1974,J_1975,J_1976,J_1977,J_1978,J_1979,J_1980,J_1981,J_1982,J_1983,J_1984,J_1985,J_1986,J_1987,J_1988,J_1989,J_1990,J_1991,J_1992,J_1993,J_1994,J_1995,J_1996,J_1997,J_1998,J_1999,J_2000,J_2001,J_2002,J_2003,J_2004,J_2005,J_2006,J_2007,J_2008,J_2009,J_2010,J_2011,J_2012,J_2013,J_2014
Pierre-Yves,443,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,7,3,*,4,*,3,4,3,5,4,9,11,10,11,13,13,12,18,13,22,17,15,10,18,11,16,9,7,14,11,20,13,12,7,12,8,6,5,5,5,6,5,7,*,4,3,3,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Yan,442,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,3,4,3,5,4,5,11,17,17,18,26,21,6,11,13,21,19,7,9,11,6,9,8,13,12,9,11,8,8,12,6,10,8,7,5,6,3,3,4,8,4,6,8,*,5,*,5,3,*,4
Félix,441,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,4,4,5,4,5,3,5,5,*,5,4,8,4,*,*,5,*,8,8,5,8,6,*,6,8,7,3,6,3,4,11,8,*,9,*,3,6,*,3,*,*,*,*,4,*,*,3,*,3,*,4,*,*,*,3,*,*,*,3,3,*,4,5,12,13,11,6,3,6,*,4,3,*,8,4,7,10,9,4,8,15,8,16,13,6,4,8,12
Samir,441,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,*,*,*,*,*,*,4,3,*,6,4,6,10,8,7,7,4,12,4,16,7,10,13,11,11,10,10,8,12,18,8,8,9,11,11,12,10,13,11,4,11,*,12,*,7,6,7,6,5,6,5,8,4,5,5,3,6,*,3,*,*,*,3,4
Artur,438,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,4,7,9,10,9,10,9,9,8,13,15,9,12,15,10,10,14,14,19,16,15,13,11,8,12,8,12,7,11,5,9,4,*,5,*,*,3,*,*,5,3,*,9,5,*,5,5,4,*,4,3,*,3,*,3,3,*,*,*,*,*
César,433,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,3,*,5,3,9,4,3,3,8,5,3,4,5,7,5,4,7,5,4,5,8,3,10,12,6,16,10,14,6,7,11,10,17,10,14,4,6,11,5,7,4,7,9,4,*,8,6,6,5,*,9,*,5,4,*,7,7,5,4,*,8,4,8,*
Fritz,431,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,6,7,7,8,10,10,12,13,12,11,8,12,9,14,12,12,10,14,8,15,14,8,10,17,13,9,17,16,5,15,10,7,9,4,4,7,6,6,5,6,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Jaime,421,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,4,*,*,4,3,4,4,4,6,4,5,3,8,9,7,8,16,12,10,14,8,16,15,11,6,15,11,9,12,10,10,13,6,6,6,5,8,6,9,5,7,3,7,4,7,4,5,*,3,4,*,3,*,3,4,*,3,*,4,*,*,*,*,*,4,3,*,*,*,*,*,*
Julio,420,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,5,5,4,5,*,7,6,15,11,10,9,7,11,9,11,11,17,13,15,17,8,14,13,9,11,13,6,7,9,13,4,4,6,4,7,8,5,3,4,4,4,5,6,*,5,*,*,*,6,*,*,*,*,*,*,*,3,3,5,*,*,*,*,3,*,*,*,*
Felix,419,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,3,*,4,4,3,4,*,*,3,4,3,6,8,*,7,4,9,6,3,5,4,4,3,11,3,7,4,7,7,9,5,*,4,5,4,3,6,4,6,3,4,6,6,*,*,6,3,5,8,3,3,3,6,4,6,7,*,5,*,6,*,5,8,*,3,3,6,5,6,11,9,3,11,4,9,6,8,5,*,7,9,6,6
Giorgio,416,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,*,*,4,*,*,*,3,3,*,8,12,7,13,8,6,12,17,7,4,12,8,8,10,8,7,9,6,5,8,6,6,12,9,*,9,8,12,9,8,10,9,11,5,3,3,4,6,5,6,8,*,3,7,*,*,3,*,3,*,*,*,4,*,*,4,3,4,*,*,*,*,*,*,*,*,*,*,3,*,*,3,*,*,*,*,*,*
Justin,416,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,3,4,*,*,*,*,*,3,4,*,3,3,5,5,4,*,6,8,12,13,10,6,10,10,8,13,13,17,19,29,11,13,14,15,15,13,16,11,10,14,7,6,8
Aldo,413,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,5,5,3,3,6,5,*,9,5,8,6,6,9,13,8,9,5,8,13,3,11,13,13,8,9,4,10,3,9,10,5,10,16,11,6,16,10,10,6,4,4,8,4,*,3,7,6,*,*,4,*,5,4,4,*,*,4,*,*,*,3,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Silvio,413,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,*,7,4,*,*,4,3,6,5,4,5,4,7,*,5,5,*,9,7,12,6,11,9,14,10,9,9,8,8,5,11,7,9,12,10,8,7,13,6,9,4,9,*,6,13,*,7,3,*,10,5,5,6,3,5,*,4,*,*,*,5,5,3,3,*,3,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Helder,412,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,3,3,*,4,6,5,6,10,5,5,10,8,17,19,18,22,20,23,12,24,25,13,9,16,12,10,9,11,4,4,6,9,5,5,6,3,*,3,*,*,3,6,*,*,*,*,*,*,*,*,*,*
Alvaro,411,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,3,*,4,*,7,8,4,15,7,9,6,6,8,11,13,17,9,12,9,13,4,12,8,9,8,7,10,6,9,7,10,8,4,10,7,12,9,3,7,3,4,3,5,3,6,*,*,*,3,4,*,4,*,3,4,3,4,*,7,*,*,5,*,*,*,*
Kylian,411,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8,3,4,4,5,8,11,8,17,17,29,25,24,23,28,27,32,30,29,22,28,26
Gianni,410,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,4,3,*,*,*,*,*,3,4,5,6,*,*,3,*,3,*,*,4,3,4,4,7,9,6,8,5,10,9,12,11,11,7,9,7,8,7,3,4,4,*,3,3,3,3,6,4,4,3,5,7,7,9,11,6,9,4,9,6,6,9,3,3,8,5,9,6,4,*,7,7,8,5,9,7,*,4
Pasquale,410,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,3,*,5,6,4,6,7,7,10,8,7,8,5,9,11,6,7,7,11,8,7,7,7,8,11,9,9,12,5,13,12,8,7,10,10,8,3,9,4,11,5,4,3,9,5,6,5,8,*,3,4,6,*,*,5,3,*,3,*,5,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Raoul,409,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,3,3,3,*,3,*,3,*,*,3,*,6,4,4,6,5,4,3,9,5,*,*,5,5,3,7,9,*,6,8,8,4,5,7,10,6,11,10,10,10,5,9,6,6,7,12,6,10,7,4,4,8,7,8,11,9,6,*,5,5,*,3,7,3,*,*,*,5,*,3,*,*,*,5,3,3,*,*,*,*,3,*,4,*,*,*,*,*,*
Joshua,401,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,4,5,4,3,5,*,7,3,3,9,5,4,9,8,6,11,11,19,16,21,17,11,15,19,21,21,13,16,18,18,18,19,18
Brian,398,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,3,*,*,*,*,3,*,*,3,*,5,*,*,*,*,*,4,3,7,3,3,*,3,*,3,5,*,*,3,*,3,*,5,*,4,4,*,*,10,3,6,*,5,3,7,7,7,*,9,7,3,11,16,14,13,13,16,19,16,10,15,8,6,9,9,7,*,5,7,*,3,6,5,*,4,*
Raffaele,398,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,4,*,3,*,5,7,7,7,6,7,8,3,7,6,*,4,*,3,3,4,6,6,6,4,8,5,6,13,3,8,8,8,11,7,7,6,5,7,4,3,7,7,6,4,4,6,6,3,11,11,6,5,8,9,3,5,6,6,4,4,3,*,*,5,*,*,3,*,*,*,*,3,*,3,*,4,*,4,5,*,*
Domingos,397,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,5,4,12,5,9,18,12,10,16,16,19,10,22,18,17,18,20,19,15,18,11,12,11,7,5,5,6,6,5,6,4,*,*,*,*,5,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Eliot,395,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,3,6,11,8,5,14,13,15,9,17,19,13,19,20,19,28,28,24,20,22,23,31,19
Alejandro,394,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,4,*,*,*,3,4,3,4,4,6,*,4,*,7,4,5,*,11,6,8,12,4,13,12,8,10,12,8,6,8,8,4,*,12,6,7,6,9,8,*,11,9,4,*,3,4,6,7,11,8,8,7,6,7,5,6,9,9,5,3,7,*,*
Matthew,393,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,5,3,*,3,4,6,4,9,8,8,14,10,8,8,12,4,8,12,4,11,12,9,6,7,9,3,10,*,4,7,3,3,5,7,5,6,13,8,4,10,7,5,9,11,11,10,8,11,6,7,15
Frédy,391,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,4,5,12,7,7,12,10,8,11,13,9,13,15,14,11,10,17,20,12,17,15,10,14,12,6,12,12,7,9,10,4,8,6,*,3,*,*,*,3,*,*,*,*,*,*,*,3,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Franz,387,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,5,4,4,9,8,5,7,14,10,10,14,11,9,7,10,5,11,14,11,13,8,12,11,8,11,6,8,10,8,8,5,5,9,8,3,9,6,4,3,3,3,3,3,*,3,*,3,*,*,*,*,3,*,*,3,*,*,*,*,*,*,3,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Claude-Alain,386,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,3,*,*,*,*,6,5,6,11,8,10,11,18,16,17,10,17,4,11,21,16,19,21,12,13,13,12,10,12,11,14,3,7,5,4,*,4,3,*,*,*,3,*,3,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Eddy,386,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,3,*,*,3,*,*,5,4,*,3,8,4,5,4,5,14,3,6,3,5,6,6,*,5,5,4,5,4,5,11,4,9,7,6,10,6,12,13,17,11,7,14,4,6,10,10,4,*,4,*,4,5,3,5,10,7,4,5,5,3,4,*,5,*,*,*,5,*,3,*,*,*,*,*,*,*,*,*,*,3,*
Erwin,385,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,6,*,3,7,12,7,11,8,12,10,10,8,10,11,6,9,6,13,16,11,12,10,8,7,5,5,6,13,7,6,5,5,12,6,5,4,3,7,3,7,*,3,*,4,*,3,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*
Ulrich,384,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,3,*,4,*,6,4,5,5,12,13,6,8,9,12,16,9,16,22,11,14,8,14,9,8,9,12,8,8,16,11,8,7,5,9,*,7,9,9,*,3,3,3,*,*,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Alban,383,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,3,*,5,5,*,*,8,5,4,4,6,6,8,9,11,3,13,20,15,15,19,8,22,12,9,14,19,12,12,14,10,7,3,4,10,5,3,4,4,6,6,4,*,*,3,4,*
Gonçalo,381,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,4,5,5,6,7,8,9,6,10,4,5,4,6,4,*,4,6,6,*,3,3,10,3,11,12,13,18,25,18,20,23,21,18,14,13,5,17,9
Timothy,380,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,4,4,*,*,3,3,7,5,4,9,6,3,4,*,6,4,5,4,4,7,7,8,3,9,*,*,6,7,*,3,4,5,*,4,7,*,12,9,9,7,10,13,9,9,9,8,9,16,7,9,8,5,6,5,5,6,3,7,6,4,4,13,*
Tomas,380,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,3,*,3,*,3,*,3,3,4,6,*,3,3,3,*,5,*,3,*,3,4,*,4,4,9,3,6,6,6,5,10,5,6,*,3,6,*,3,*,6,5,*,*,4,7,11,6,15,9,8,16,12,20,16,13,16,18,14,8,11
Mustafa,378,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,3,*,4,*,7,*,7,*,*,*,3,3,4,*,7,7,13,7,11,15,10,7,13,8,6,7,8,6,6,6,11,7,9,7,5,8,9,*,5,6,11,5,6,8,5,10,5,4,6,3,6,5,6,*,6,*,*,*,3,*,5,3,3,*,*,*,*,4,6,3,3
Thibaut,378,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,5,*,3,*,*,4,3,7,10,9,9,6,6,9,15,14,13,21,11,7,16,13,11,7,15,9,7,11,16,9,13,5,11,6,10,8,12,7,15,9
Jesus,377,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,4,7,3,*,*,3,4,3,5,6,*,8,10,11,6,9,7,13,9,10,8,11,15,9,8,12,15,14,15,6,9,5,8,3,*,9,6,3,6,11,10,7,5,*,5,*,5,*,4,*,5,*,*,4,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Josef,377,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,3,7,6,7,6,7,5,12,7,9,16,6,15,4,13,13,12,12,12,12,9,12,12,13,13,9,8,11,6,7,5,10,6,5,4,7,3,6,7,*,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Lenny,377,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,3,*,*,*,*,4,6,5,8,22,14,23,25,21,24,19,37,38,33,32,46
Nicholas,377,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,3,3,*,4,6,4,6,4,7,6,6,8,4,4,10,5,10,6,7,11,7,8,9,9,*,4,4,8,6,4,14,7,9,10,8,10,6,6,4,3,8,7,*,3,7,5,*,6,9,9,5,5,4,7,3,8,5,*,*,*,*,7
Hélder,375,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,9,4,3,6,5,6,15,19,20,20,25,15,22,14,21,28,19,18,17,9,8,5,7,*,*,*,7,3,*,4,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*
Ian,375,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,5,3,5,3,4,3,*,6,4,6,7,5,7,4,10,3,4,6,9,8,9,8,4,6,3,12,3,4,6,5,7,5,*,5,5,*,3,*,*,5,*,4,5,6,6,4,5,*,7,5,6,5,8,5,7,8,4,9,3,7,8,4,5,7,5,6,5,8
Elie,373,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,5,*,*,*,*,*,3,*,*,*,*,*,5,3,3,*,*,*,*,*,3,*,*,*,*,*,*,3,4,3,*,*,4,*,*,*,4,*,5,*,*,5,*,*,4,4,*,*,*,3,*,*,3,3,*,*,*,*,10,6,4,5,9,8,10,9,6,10,10,6,11,13,9,12,11,9,12,8,17,12,11,17,17
Mattia,373,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,3,3,4,*,*,3,*,4,5,4,5,7,10,3,4,9,3,*,5,6,11,6,11,15,12,18,12,11,19,18,20,24,25,29,37
Angel,371,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,*,3,4,3,*,*,6,*,4,7,4,9,3,6,*,*,6,3,6,12,5,7,4,7,6,4,11,4,5,10,6,8,4,5,8,3,6,3,7,4,8,7,7,8,*,5,5,*,5,3,*,*,*,*,3,*,4,5,3,4,*,*,*,7,5,6,3,*,7,6,3,6,7,9,10,4
Dan,368,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,4,*,*,3,3,*,*,3,*,3,*,3,4,*,3,5,4,5,7,*,*,3,4,8,7,10,6,14,8,12,11,16,11,6,11,12,11,12,12,3,11,10,7,5,6,7,16,3,10,3,6,8,6,*,8
Emilien,367,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,3,10,8,16,7,7,7,10,8,11,*,7,8,8,5,9,15,5,9,13,6,8,8,17,25,16,9,23,12,18,14,8,17
Yoan,367,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,4,6,4,6,4,3,6,6,11,12,10,12,10,12,15,13,8,4,12,10,14,15,18,18,12,16,14,17,19,12,11,13,10
Ronald,366,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,3,4,*,*,5,4,4,8,9,12,11,11,8,10,10,8,*,9,10,15,9,6,8,5,7,8,12,7,6,5,5,5,9,7,6,8,6,6,8,7,4,5,5,3,*,5,4,4,*,4,3,4,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Bernhard,365,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,*,8,*,*,*,4,5,*,4,5,7,4,7,9,9,7,13,9,8,12,9,9,11,16,11,9,8,17,11,6,9,9,8,10,10,13,5,6,3,7,5,5,3,*,5,*,*,5,*,*,7,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Emanuel,364,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,3,*,*,*,3,*,*,*,3,5,*,*,4,4,6,5,3,10,4,5,3,8,8,8,11,6,7,7,8,11,16,11,14,12,17,10,13,12,6,9,7,9,5,9,7,*,5,5,4,4,3,*,6,*,3,4,*,*,*,4,4
Mickael,364,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,3,*,*,6,5,8,12,9,9,24,32,22,25,16,7,11,10,9,12,9,5,5,5,3,8,5,4,14,8,12,8,8,8,9,8
Renaud,364,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,3,*,*,4,4,3,5,*,*,*,*,3,3,4,11,6,7,5,3,8,5,6,12,10,5,*,6,4,8,5,10,11,9,12,10,10,15,17,11,10,10,*,13,9,7,5,13,4,8,*,4,*,*,*,*,4,*,*,*,*,*,*,*,*,*,*
Marcos,363,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,3,5,3,3,3,*,5,7,3,6,3,4,7,*,16,14,10,20,15,11,15,14,21,12,11,13,10,11,6,4,7,7,7,*,5,*,3,4,*,5,*,8,*,4,3,*,10,4,3,*,*,3,3,4,*,*
Yohan,363,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,5,6,*,5,12,9,5,12,12,9,18,11,7,13,10,12,14,10,14,12,16,17,12,17,10,13,11,20,12,9,10,10
Tobias,361,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,3,*,*,3,*,*,*,3,4,4,4,5,7,*,12,6,11,5,*,8,5,5,5,6,6,15,7,3,8,8,7,6,14,15,11,9,7,6,6,10,5,16,10,10,5,11,7,9,7,14,9
Federico,360,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,3,*,*,7,4,*,3,4,*,*,3,4,5,5,5,4,3,6,7,14,6,5,16,5,14,8,13,8,13,9,8,8,12,10,8,3,10,6,*,10,5,4,*,5,*,3,4,3,3,4,4,4,*,*,*,7,3,6,6,*,*
